timestamp,fps,frame_time_ms,hailo_score,hailo_valid,mediapipe_landmarks,command,tcp_sent,tcp_reconnected,cx,cy
1763911799.904923,0.3442826261919019,2904.590368270874,0.0,0,0,No hand,1,,-1,-1
1763911800.1072206,18.76209561981105,53.2989501953125,0.0,0,0,No hand,0,0,-1,-1
1763911800.1776512,19.761242691367215,50.60410499572754,0.0,0,0,No hand,0,0,-1,-1
1763911800.2468407,17.077228754763688,58.55751037597656,0.0,0,0,No hand,0,0,-1,-1
1763911800.3087718,19.692585063078376,50.780534744262695,0.0,0,0,No hand,0,0,-1,-1
1763911800.364529,20.632933560275873,48.46620559692383,0.0,0,0,No hand,0,0,-1,-1
1763911800.4264529,19.20706314425318,52.06418037414551,0.0,0,0,No hand,0,0,-1,-1
1763911800.4785461,21.939605073885183,45.57967185974121,0.0,0,0,No hand,0,0,-1,-1
1763911800.5309188,22.368428350487974,44.705867767333984,0.0,0,0,No hand,0,0,-1,-1
1763911800.5867527,21.830779480346436,45.806884765625,0.0,0,0,No hand,0,0,-1,-1
1763911800.6374953,22.59387305469217,44.25978660583496,0.0,0,0,No hand,0,0,-1,-1
1763911800.6900764,23.641735856288506,42.298078536987305,0.0,0,0,No hand,0,0,-1,-1
1763911800.7417512,22.22312648355375,44.9981689453125,0.0,0,0,No hand,0,0,-1,-1
1763911800.7947433,22.420920399206718,44.6012020111084,0.0,0,0,No hand,0,0,-1,-1
1763911800.8459263,22.45597203111699,44.53158378601074,0.0,0,0,No hand,0,0,-1,-1
1763911800.8966556,22.39016057396652,44.6624755859375,0.0,0,0,No hand,0,0,-1,-1
1763911800.9485552,22.5543868705771,44.33727264404297,0.0,0,0,No hand,0,0,-1,-1
1763911801.002475,20.883808006373233,47.88398742675781,0.0,0,0,No hand,0,0,-1,-1
1763911801.0541089,22.36174999733427,44.71921920776367,0.0,0,0,No hand,0,0,-1,-1
1763911801.1091917,21.026188089031482,47.55973815917969,0.0,0,0,No hand,0,0,-1,-1
1763911801.164039,20.65101622813928,48.42376708984375,0.0,0,0,No hand,0,0,-1,-1
1763911801.217396,21.60163983395651,46.292781829833984,0.0,0,0,No hand,0,0,-1,-1
1763911801.2839754,16.768295266918,59.63635444641113,0.0,0,0,No hand,0,0,-1,-1
1763911801.3483338,19.3112364465112,51.78332328796387,0.0,0,0,No hand,0,0,-1,-1
1763911801.4003549,21.953500057575344,45.55082321166992,0.0,0,0,No hand,0,0,-1,-1
1763911801.4526305,22.208535423064703,45.027732849121094,0.0,0,0,No hand,0,0,-1,-1
1763911801.504937,22.00475318584117,45.44472694396973,0.0,0,0,No hand,0,0,-1,-1
1763911801.557889,23.586296871133904,42.397499084472656,0.0,0,0,No hand,0,0,-1,-1
1763911801.6096609,22.228190764893238,44.98791694641113,0.0,0,0,No hand,0,0,-1,-1
1763911801.6667972,19.935947221575272,50.16064643859863,0.0,0,0,No hand,0,0,-1,-1
1763911801.719045,21.71110892554882,46.059370040893555,0.0,0,0,No hand,0,0,-1,-1
1763911801.7675138,23.379230001727954,42.77300834655762,0.0,0,0,No hand,0,0,-1,-1
1763911801.8217359,21.865034640587613,45.73512077331543,0.0,0,0,No hand,0,0,-1,-1
1763911801.8785398,20.487002393396182,48.81143569946289,0.0,0,0,No hand,0,0,-1,-1
